TP,TPH,SL,OPEN_GAP,SHARPE,CAGR,MAX_DD,CALMAR,FINAL_EQUITY,TRADES,WIN_RATE
0.03300,0.03200,0.99000,0.00500,1.566151,0.583801,-0.405466,1.439826,3074066.89,521,64.2994
0.03300,0.01000,0.99000,0.00500,1.562405,0.575928,-0.444739,1.294980,2889051.18,521,68.3301
0.03300,0.03900,0.99000,0.00500,1.561457,0.602448,-0.363843,1.655792,3556641.97,521,61.6123
0.03300,0.05600,0.99000,0.00500,1.561131,0.627424,-0.354191,1.771429,4312333.94,521,59.8848
0.03300,0.03100,0.99000,0.00500,1.553106,0.576140,-0.407127,1.415136,2893883.19,521,64.4914
0.03300,0.04200,0.99000,0.00500,1.552921,0.604374,-0.360012,1.678759,3610246.80,521,61.4203
0.03300,0.05500,0.99000,0.00500,1.551033,0.621258,-0.354763,1.751190,4113140.12,521,59.8848
0.03300,0.05400,0.99000,0.00500,1.545766,0.617246,-0.355432,1.736608,3988135.22,521,59.8848
0.03300,0.02200,0.99000,0.00500,1.543758,0.560310,-0.375468,1.492296,2551945.11,521,66.4107
0.03300,0.03000,0.99000,0.00500,1.540260,0.570020,-0.408826,1.394286,2756987.99,521,64.8752
0.03300,0.05300,0.99000,0.00500,1.538959,0.613227,-0.356002,1.722539,3866403.31,521,59.8848
0.03300,0.05200,0.99000,0.00500,1.531809,0.608258,-0.356657,1.705440,3720643.58,521,59.8848
0.03300,0.02700,0.99000,0.00500,1.529160,0.556421,-0.323517,1.719912,2473837.40,521,65.0672
0.03300,0.04400,0.99000,0.00500,1.526652,0.595040,-0.357597,1.663994,3357147.24,521,60.8445
0.03300,0.05100,0.99000,0.00500,1.525215,0.604331,-0.350399,1.724694,3609041.71,521,59.8848
0.03300,0.01100,0.99000,0.00500,1.520865,0.554808,-0.437574,1.267918,2442076.24,521,67.5624
0.03300,0.05000,0.99000,0.00500,1.512614,0.596554,-0.351677,1.696312,3397065.89,521,59.8848
0.03300,0.04300,0.99000,0.00500,1.511600,0.585678,-0.358885,1.631939,3119779.50,521,60.8445
0.03300,0.02100,0.99000,0.00500,1.504415,0.544322,-0.377887,1.440439,2244659.64,521,66.0269
0.03300,0.02900,0.99000,0.00500,1.503775,0.550963,-0.410566,1.341961,2367908.91,521,64.6833
0.03300,0.04600,0.99000,0.00500,1.502362,0.585384,-0.356637,1.641400,3112575.08,521,60.2687
0.03300,0.02800,0.99000,0.00500,1.497809,0.548424,-0.412307,1.330135,2320062.63,521,64.8752
0.03300,0.04900,0.99000,0.00500,1.497432,0.587345,-0.352962,1.664048,3160879.50,521,59.8848
0.03300,0.04500,0.99000,0.00500,1.491161,0.579204,-0.356403,1.625138,2964767.67,521,60.4607
0.03300,0.01800,0.99000,0.00500,1.490547,0.534206,-0.385135,1.387063,2068210.73,521,67.3704
0.03300,0.01700,0.99000,0.00500,1.483368,0.531060,-0.387563,1.370255,2015984.08,521,67.5624
0.03300,0.04800,0.99000,0.00500,1.482998,0.578701,-0.354085,1.634355,2953017.39,521,59.8848
0.03300,0.00900,0.99000,0.00500,1.480979,0.537333,-0.442506,1.214295,2121332.51,521,67.5624
0.03300,0.04700,0.99000,0.00500,1.470906,0.571210,-0.355362,1.607401,2783124.39,521,59.8848
0.03300,0.00800,0.99000,0.00500,1.458674,0.525324,-0.405242,1.296322,1923897.79,521,67.7543
0.03300,0.01400,0.99000,0.00500,1.457144,0.517566,-0.450000,1.150146,1805487.81,521,66.7946
0.03300,0.00300,0.99000,0.00500,1.456863,0.532089,-0.446216,1.192446,2032936.13,521,68.3301
0.03300,0.00400,0.99000,0.00500,1.451671,0.527437,-0.440177,1.198240,1957369.20,521,67.9463
0.03300,0.01600,0.99000,0.00500,1.443673,0.510787,-0.417317,1.223978,1707554.27,521,67.5624
0.03300,0.00200,0.99000,0.00500,1.440379,0.525005,-0.432286,1.214484,1918885.42,521,68.5221
0.03300,0.00600,0.99000,0.00500,1.433242,0.517893,-0.439924,1.177232,1810349.98,521,67.5624
0.03300,0.00500,0.99000,0.00500,1.429954,0.517573,-0.468606,1.104496,1805596.23,521,68.1382
0.03300,0.01900,0.99000,0.00500,1.414679,0.502086,-0.382695,1.311972,1589002.20,521,66.2188
0.03300,0.02000,0.99000,0.00500,1.409150,0.499773,-0.380257,1.314301,1558791.51,521,66.0269
0.03300,0.00100,0.99000,0.00500,1.403112,0.507212,-0.437837,1.158450,1657902.28,521,67.5624
0.03300,0.00700,0.99000,0.00500,1.390640,0.495118,-0.427310,1.158686,1499583.81,521,67.7543
0.03300,0.01500,0.99000,0.00500,1.353334,0.469946,-0.449241,1.046090,1213698.95,521,66.6027
