hours,smaLength,distancePips,tpPips,slPips,exitAfterCandles,transactionCostPips,operations,operationsPerYear,winningOperations,winRate,netPips,averagePips,medianPips,averageMaePips,maeP95Pips,averageMfePips,mfeP95Pips,profitFactor,sharpeRatio,maxDrawdownPips,returnDd
01,2,10.0000,30.0000,999.0000,2,0.7500,13,1.5367,7,53.8462,52.1500,4.0115,1.4500,7.3231,21.3000,14.6923,47.1400,2.3907,4.6625,23.400000
01,2,10.0000,30.0000,999.0000,4,0.7500,13,1.5367,7,53.8462,42.0500,3.2346,1.4500,8.0231,25.6400,14.6923,47.1400,1.8834,3.4894,33.500000
01,2,10.0000,30.0000,999.0000,6,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,8,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,12,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,16,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,20,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,24,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,28,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,32,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,36,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,40,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,44,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,48,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,30.0000,999.0000,52,0.7500,13,1.5367,7,53.8462,49.2500,3.7885,1.4500,8.0231,25.6400,14.6923,47.1400,2.2191,4.3228,26.300000
01,2,10.0000,40.0000,999.0000,2,0.7500,13,1.5367,7,53.8462,56.0500,4.3115,1.4500,7.3231,21.3000,14.6923,47.1400,2.4947,4.6756,23.400000
01,2,10.0000,40.0000,999.0000,4,0.7500,13,1.5367,7,53.8462,45.9500,3.5346,1.4500,8.0231,25.6400,14.6923,47.1400,1.9653,3.5863,33.500000
01,2,10.0000,40.0000,999.0000,6,0.7500,13,1.5367,7,53.8462,53.1500,4.0885,1.4500,8.0231,25.6400,14.6923,47.1400,2.3156,4.3615,26.300000
01,2,10.0000,40.0000,999.0000,8,0.7500,13,1.5367,7,53.8462,53.1500,4.0885,1.4500,8.0231,25.6400,14.6923,47.1400,2.3156,4.3615,26.300000
01,2,10.0000,40.0000,999.0000,12,0.7500,13,1.5367,7,53.8462,53.1500,4.0885,1.4500,8.0231,25.6400,14.6923,47.1400,2.3156,4.3615,26.300000
