window,isStart,isEnd,oosStart,oosEnd,tp,tph,sl,initialEquity,finalEquity,returnPct,trades,winPercentage
1,2014-02-25,2016-02-24,2016-02-25,2016-03-24,0.034999999999999996,0.065,0.015,10000.0,10759.391494999996,0.07593914949999969,5,60.0
2,2014-03-25,2016-03-24,2016-03-29,2016-04-22,0.034999999999999996,0.065,0.005,10759.391494999996,11592.86324999999,0.07746458109525212,4,50.0
3,2014-04-25,2016-04-22,2016-04-25,2016-05-24,0.034999999999999996,0.065,0.015,11592.86324999999,11454.44425499999,-0.011940017924389812,6,50.0
4,2014-05-26,2016-05-24,2016-05-25,2016-06-24,0.039999999999999994,0.07500000000000001,0.015,11454.44425499999,10253.317964999991,-0.10486115810251495,4,0.0
5,2014-06-25,2016-06-24,2016-06-27,2016-07-22,0.039999999999999994,0.07500000000000001,0.015,10253.317964999991,12990.293594999994,0.26693560458602295,6,83.33333333333333
6,2014-07-25,2016-07-22,2016-07-25,2016-08-24,0.039999999999999994,0.07500000000000001,0.015,12990.293594999994,14068.730584999988,0.08301867714638012,4,75.0
7,2014-08-25,2016-08-24,2016-08-25,2016-09-23,0.04999999999999999,0.065,0.015,14068.730584999988,14697.12547499999,0.04466606892522296,5,60.0
8,2014-09-25,2016-09-23,2016-09-26,2016-10-24,0.04999999999999999,0.065,0.015,14697.12547499999,15547.208984999988,0.057840120603583456,4,75.0
9,2014-10-27,2016-10-24,2016-10-25,2016-11-24,0.04999999999999999,0.065,0.015,15547.208984999988,15454.822479999992,-0.005942320907188603,4,50.0
10,2014-11-25,2016-11-24,2016-11-25,2016-12-23,0.039999999999999994,0.07500000000000001,0.015,15454.822479999992,15546.65198499999,0.005941802639197746,4,50.0
11,2014-12-29,2016-12-23,2016-12-27,2017-01-24,0.039999999999999994,0.07500000000000001,0.015,15546.65198499999,17051.996989999992,0.09682760033815763,4,75.0
12,2015-01-26,2017-01-24,2017-01-25,2017-02-24,0.039999999999999994,0.07500000000000001,0.015,17051.996989999992,18424.982214999996,0.08051756200785043,4,50.0
13,2015-02-25,2017-02-24,2017-02-27,2017-03-24,0.039999999999999994,0.07500000000000001,0.015,18424.982214999996,18634.684789999992,0.01138142618283089,4,75.0
14,2015-03-25,2017-03-24,2017-03-27,2017-04-24,0.039999999999999994,0.07500000000000001,0.015,18634.684789999992,19503.462564999994,0.04662154390001905,4,50.0
15,2015-04-27,2017-04-24,2017-04-25,2017-05-24,0.039999999999999994,0.07500000000000001,0.015,19503.462564999994,20234.885724999996,0.03750222082680743,3,66.66666666666667
16,2015-05-25,2017-05-24,2017-05-25,2017-06-23,0.039999999999999994,0.07500000000000001,0.015,20234.885724999996,20493.84999000001,0.012797910920745448,4,50.0
17,2015-06-25,2017-06-23,2017-06-26,2017-07-24,0.039999999999999994,0.07500000000000001,0.015,20493.84999000001,19353.19501000001,-0.055658403889780717,5,60.0
18,2015-07-27,2017-07-24,2017-07-25,2017-08-24,0.039999999999999994,0.07500000000000001,0.015,19353.19501000001,18173.459270000014,-0.060958190076130236,4,25.0
19,2015-08-25,2017-08-24,2017-08-25,2017-09-22,0.039999999999999994,0.07500000000000001,0.015,18173.459270000014,18625.904370000007,0.024895926156825343,5,60.0
20,2015-09-25,2017-09-22,2017-09-25,2017-10-24,0.039999999999999994,0.07500000000000001,0.015,18625.904370000007,19410.09743,0.042102281017992516,5,60.0
21,2015-10-26,2017-10-24,2017-10-25,2017-11-24,0.039999999999999994,0.07500000000000001,0.015,19410.09743,20705.775075000005,0.06675276358981175,5,60.0
22,2015-11-25,2017-11-24,2017-11-27,2017-12-22,0.039999999999999994,0.07500000000000001,0.015,20705.775075000005,20676.515205000003,-0.0014131260430492176,5,40.0
23,2015-12-28,2017-12-22,2017-12-27,2018-01-24,0.039999999999999994,0.07500000000000001,0.015,20676.515205000003,22325.62029500001,0.07975739981567198,4,75.0
24,2016-01-25,2018-01-24,2018-01-25,2018-02-23,0.039999999999999994,0.07500000000000001,0.015,22325.62029500001,21274.575965000015,-0.047077945253569786,5,60.0
25,2016-02-25,2018-02-23,2018-02-26,2018-03-23,0.039999999999999994,0.07500000000000001,0.015,21274.575965000015,17759.88931000002,-0.16520595572772878,5,40.0
26,2016-03-29,2018-03-23,2018-03-26,2018-04-24,0.03,0.065,0.01,17759.88931000002,20464.077900000022,0.15226382004967576,5,60.0
27,2016-04-25,2018-04-24,2018-04-25,2018-05-24,0.039999999999999994,0.065,0.015,20464.077900000022,21866.998740000025,0.06855529219814005,5,60.0
28,2016-05-25,2018-05-24,2018-05-25,2018-06-22,0.03,0.065,0.01,21866.998740000025,24741.582520000014,0.13145762773295822,5,60.0
29,2016-06-27,2018-06-22,2018-06-25,2018-07-24,0.03,0.07,0.01,24741.582520000014,25912.704940000014,0.0473341759385566,5,40.0
30,2016-07-25,2018-07-24,2018-07-25,2018-08-24,0.03,0.07,0.01,25912.704940000014,27319.759695000015,0.05429980228841358,4,75.0
31,2016-08-25,2018-08-24,2018-08-27,2018-09-24,0.03,0.07,0.01,27319.759695000015,28111.389195000018,0.02897644447966674,5,40.0
32,2016-09-26,2018-09-24,2018-09-25,2018-10-24,0.03,0.07,0.01,28111.389195000018,28714.152180000026,0.021441949411280525,4,25.0
33,2016-10-25,2018-10-24,2018-10-25,2018-11-23,0.03,0.07,0.01,28714.152180000026,24199.42282000003,-0.15723011188693903,5,40.0
34,2016-11-25,2018-11-23,2018-11-26,2018-12-21,0.039999999999999994,0.07,0.01,24199.42282000003,25425.241830000035,0.05065488623914227,5,80.0
35,2016-12-27,2018-12-21,2018-12-27,2019-01-24,0.039999999999999994,0.07,0.01,25425.241830000035,28194.575420000034,0.10892063912376937,5,60.0
36,2017-01-25,2019-01-24,2019-01-25,2019-02-22,0.039999999999999994,0.07,0.01,28194.575420000034,30221.570170000028,0.07189307587735949,6,50.0
37,2017-02-27,2019-02-22,2019-02-25,2019-03-22,0.039999999999999994,0.07,0.005,30221.570170000028,30398.587130000014,0.005857305196395934,5,40.0
38,2017-03-27,2019-03-22,2019-03-25,2019-04-24,0.039999999999999994,0.07,0.01,30398.587130000014,32926.57592500001,0.08316139115903698,5,80.0
39,2017-04-25,2019-04-24,2019-04-25,2019-05-24,0.039999999999999994,0.07,0.01,32926.57592500001,29694.773485,-0.09815179225927995,4,25.0
40,2017-05-25,2019-05-24,2019-05-27,2019-06-24,0.039999999999999994,0.07,0.01,29694.773485,36357.522825000015,0.22437447934619303,5,80.0
41,2017-06-26,2019-06-24,2019-06-25,2019-07-24,0.04499999999999999,0.07,0.01,36357.522825000015,39064.94400000001,0.07446660180980014,4,50.0
42,2017-07-25,2019-07-24,2019-07-25,2019-08-23,0.04499999999999999,0.07,0.01,39064.94400000001,37371.92901000001,-0.04333847221181231,4,0.0
43,2017-08-25,2019-08-23,2019-08-26,2019-09-24,0.04499999999999999,0.07,0.01,37371.92901000001,39094.21822500002,0.04608510346199046,6,66.66666666666667
44,2017-09-25,2019-09-24,2019-09-25,2019-10-24,0.04499999999999999,0.07,0.01,39094.21822500002,40004.069910000006,0.023273305524706744,4,50.0
45,2017-10-25,2019-10-24,2019-10-25,2019-11-22,0.04499999999999999,0.07,0.01,40004.069910000006,40695.602515,0.017286556256795427,4,50.0
46,2017-11-27,2019-11-22,2019-11-25,2019-12-23,0.04499999999999999,0.07,0.01,40695.602515,43505.80977500001,0.06905432249010679,5,40.0
47,2017-12-27,2019-12-23,2019-12-27,2020-01-24,0.04499999999999999,0.07,0.01,43505.80977500001,48096.28372500001,0.10551404453199842,5,60.0
48,2018-01-25,2020-01-24,2020-01-27,2020-02-24,0.04499999999999999,0.07,0.01,48096.28372500001,49410.225014999996,0.027318977439352743,5,40.0
49,2018-02-26,2020-02-24,2020-02-25,2020-03-24,0.04499999999999999,0.07,0.01,49410.225014999996,61844.996819999986,0.25166393800524145,4,50.0
50,2018-03-26,2020-03-24,2020-03-25,2020-04-24,0.04499999999999999,0.07,0.01,61844.996819999986,62571.955270000006,0.01175452320121928,5,40.0
51,2018-04-25,2020-04-24,2020-04-27,2020-05-22,0.03,0.07,0.01,62571.955270000006,72832.82384500002,0.1639851037213722,6,50.0
52,2018-05-25,2020-05-22,2020-05-25,2020-06-24,0.04499999999999999,0.07,0.01,72832.82384500002,84184.89911000003,0.1558648239310212,7,57.142857142857146
