entryDate;exitDate;entryPrice;exitPrice;quantity;profit%;closeReason;buyType
2010-01-04;2010-01-06;46.10;45.91;216;-0,41;SLL WEDNESDAY;LUNES
2010-01-11;2010-01-15;46.38;46.19;214;-0,41;SLL FRIDAY;LUNES
2010-01-25;2010-01-26;44.18;44.00;223;-0,41;SLL TUESDAY;LUNES
2010-02-01;2010-02-03;42.71;43.77;230;2,48;TPH WEDNESDAY;LUNES
2010-02-08;2010-02-12;42.72;43.56;235;1,97;WEEKLY_CLOSE;LUNES
2010-02-22;2010-02-26;44.80;44.55;229;-0,56;WEEKLY_CLOSE;LUNES
2010-03-01;2010-03-05;44.74;46.22;227;3,31;WEEKLY_CLOSE;LUNES
2010-03-08;2010-03-12;46.24;47.14;227;1,95;WEEKLY_CLOSE;LUNES
2010-03-15;2010-03-19;47.04;47.27;227;0,49;WEEKLY_CLOSE;LUNES
2010-03-22;2010-03-25;47.09;48.26;228;2,48;TPH THURSDAY;LUNES
2010-03-29;2010-04-01;48.01;47.81;229;-0,42;SLL THURSDAY;LUNES
2010-04-05;2010-04-09;48.04;48.80;228;1,58;WEEKLY_CLOSE;LUNES
2010-04-12;2010-04-16;48.82;49.30;227;0,98;WEEKLY_CLOSE;LUNES
2010-04-19;2010-04-23;49.13;50.28;228;2,34;WEEKLY_CLOSE;LUNES
2010-04-26;2010-04-30;50.29;49.01;228;-2,55;WEEKLY_CLOSE;LUNES
2010-05-03;2010-05-04;49.20;49.00;226;-0,41;SLL TUESDAY;LUNES
2010-05-10;2010-05-11;47.20;47.01;235;-0,40;SLL TUESDAY;LUNES
2010-05-17;2010-05-18;46.82;46.63;236;-0,41;SLL TUESDAY;LUNES
2010-05-24;2010-05-26;44.60;44.42;246;-0,40;SLL WEDNESDAY;LUNES
2010-06-07;2010-06-11;45.13;45.29;242;0,35;WEEKLY_CLOSE;LUNES
2010-06-14;2010-06-16;45.70;46.84;240;2,49;TPH WEDNESDAY;LUNES
2010-06-21;2010-06-25;47.38;45.06;237;-4,90;WEEKLY_CLOSE;LUNES
2010-06-28;2010-07-02;45.08;42.27;236;-6,23;WEEKLY_CLOSE;LUNES
2010-07-12;2010-07-14;44.37;45.47;225;2,48;TPH WEDNESDAY;LUNES
2010-07-19;2010-07-22;44.27;45.37;231;2,48;TPH THURSDAY;LUNES
2010-07-26;2010-07-28;45.91;45.72;228;-0,41;SLL WEDNESDAY;LUNES
2010-08-02;2010-08-06;46.16;45.97;225;-0,41;SLL FRIDAY;LUNES
